age;height_cm;weight_kg;overall;skill_moves;pace;shooting;passing;dribbling;defending;physic
29;180;76;82;4;71;81;83;85;63;73
28;194;83;82;2;53;47;56;50;81;85
24;177;71;81;3;84;73;75;86;41;63
21;191;78;81;2;76;45;60;62;83;76
20;189;85;81;2;67;29;56;55;83;80
22;171;71;81;4;81;68;81;87;33;50
23;172;70;81;4;72;72;79;87;57;65
23;181;76;81;4;77;80;80;82;41;69
25;176;68;81;3;96;77;75;81;33;64
25;170;69;81;3;92;69;75;81;78;76
22;172;68;81;3;76;69;81;84;61;77
24;186;78;81;2;67;72;79;76;75;83
25;178;72;81;4;86;75;77;85;54;71
22;181;76;81;4;77;77;77;85;33;67
25;175;74;81;4;86;81;69;88;29;55
25;180;72;81;3;55;69;84;82;67;59
27;184;80;81;2;71;39;50;57;84;81
25;184;77;81;2;68;65;75;73;81;81
24;183;79;81;4;78;82;78;83;38;70
25;187;75;81;2;67;66;77;72;77;80
25;182;91;81;3;73;82;59;74;39;85
23;183;72;81;4;88;83;75;83;37;67
27;179;68;81;3;93;69;72;83;40;64
25;185;72;81;2;66;56;68;66;85;82
26;175;71;81;3;86;80;64;76;31;63
24;187;83;81;2;68;33;60;57;80;83
27;175;66;81;5;84;79;79;86;27;64
27;180;70;81;3;88;69;77;82;79;73
33;179;75;81;4;76;81;71;82;37;72
36;184;84;81;2;70;77;63;73;32;63
33;189;75;81;4;64;82;80;80;32;62
36;188;85;81;3;67;83;75;75;36;78
33;176;66;81;3;73;55;71;74;80;75
31;176;74;81;3;53;78;81;81;37;63
30;186;78;81;3;78;79;71;80;32;70
29;174;72;81;2;71;51;72;72;78;82
31;183;80;81;3;77;71;76;75;80;86
29;176;67;81;3;78;74;80;81;73;76
30;191;80;81;2;66;83;71;69;45;80
29;179;72;81;3;76;81;68;76;42;75
33;192;81;81;2;39;53;59;53;84;75
29;191;79;81;2;73;65;66;61;83;77
31;185;84;81;4;73;80;75;82;42;75
29;182;79;81;2;60;71;83;76;68;73
29;195;90;81;2;61;79;57;74;35;85
29;167;61;81;5;80;72;82;86;42;55
28;193;86;81;2;74;58;52;62;84;76
28;186;75;81;2;81;40;62;65;83;75
29;191;81;81;2;63;38;48;54;82;82
28;175;72;81;3;68;75;82;78;71;73
29;167;58;81;4;86;73;80;83;33;50
30;185;91;81;2;67;60;63;60;86;83
27;181;77;81;2;81;82;63;80;31;69
21;178;72;80;4;87;76;72;84;33;60
25;180;75;80;3;61;71;86;78;58;68
23;187;84;80;2;76;40;59;63;79;85
21;190;94;80;3;84;80;65;75;30;81
23;180;70;80;4;86;80;69;79;33;71
21;165;60;80;3;70;55;80;84;73;67
19;170;69;80;4;93;69;70;84;46;62
23;181;77;80;2;76;54;54;59;82;80
21;164;57;80;4;90;71;76;85;37;39
25;186;73;80;4;71;73;77;83;74;80
26;174;71;80;4;68;70;83;82;65;70
23;190;83;80;3;80;81;64;74;33;85
25;181;77;80;3;77;75;73;77;80;78
26;179;68;80;3;85;74;79;80;32;68
21;169;63;80;4;87;73;71;85;37;63
24;181;85;80;3;78;80;60;76;32;78
22;169;72;80;4;88;78;76;86;57;74
20;187;75;80;4;78;78;78;84;34;61
24;181;75;80;2;68;63;71;72;78;81
23;170;73;80;5;85;73;78;85;51;62
26;183;75;80;2;66;51;55;62;84;76
25;190;84;80;2;59;50;71;54;80;74
25;187;76;80;2;67;59;72;72;80;83
21;180;77;80;3;76;52;76;76;79;76
27;182;90;80;3;88;80;56;76;28;83
26;174;68;80;4;90;79;74;81;34;63
27;178;73;80;3;90;78;72;82;29;62
25;194;91;80;3;78;80;71;71;33;84
24;189;85;80;4;80;80;56;74;32;80
26;185;82;80;4;79;71;75;84;69;83
27;172;73;80;3;77;69;79;81;74;68
27;186;86;80;4;77;80;78;81;70;84
27;175;72;80;2;67;79;83;75;68;74
26;178;73;80;4;87;78;81;83;34;74
27;184;76;80;4;90;80;68;74;34;71
24;188;84;80;2;63;39;59;63;81;82
25;181;76;80;4;74;69;80;82;36;67
26;178;70;80;4;88;77;77;83;47;63
25;190;82;80;2;66;44;62;53;82;78
37;180;82;80;3;40;84;87;81;26;68
33;183;71;80;4;63;67;78;73;69;77
33;183;79;80;2;48;68;81;69;80;78
31;175;73;80;3;54;78;87;85;28;60
33;178;65;80;3;74;70;81;84;43;67
30;175;74;80;5;84;74;77;85;27;64
34;182;80;80;5;53;72;85;85;29;61
32;175;64;80;3;43;72;83;79;74;66
31;170;70;80;3;84;85;61;78;29;66
33;173;76;80;3;79;51;71;77;79;78
30;191;82;80;4;73;79;67;77;31;77
32;182;74;80;3;78;63;75;77;79;79
33;182;78;80;3;67;81;64;71;46;78
30;192;82;80;2;76;64;66;55;82;81
32;175;69;80;4;73;83;72;82;32;64
32;187;83;80;2;64;60;60;64;80;84
29;174;69;80;4;74;79;78;85;41;68
30;176;70;80;3;76;67;75;76;80;75
30;172;74;80;2;66;52;75;73;78;77
28;176;65;80;2;85;42;70;78;80;68
28;190;82;80;2;61;46;60;59;83;76
26;185;74;80;3;71;59;70;70;78;83
28;178;76;80;3;76;65;73;74;78;78
28;180;76;80;2;71;64;69;67;83;76
31;176;72;80;3;74;56;71;75;81;78
28;181;78;80;4;85;67;77;79;47;75
31;198;89;80;2;73;56;61;57;82;74
29;189;85;80;3;77;81;67;77;45;79
28;180;78;80;2;68;72;82;78;75;74
27;195;91;80;2;44;42;60;54;81;82
29;184;86;80;2;70;60;65;63;79;81
29;176;75;80;3;64;76;83;79;68;75
31;189;86;80;2;62;55;59;56;81;78
28;177;77;80;3;80;73;78;82;75;80
30;188;84;80;2;42;87;72;69;36;71
23;182;80;79;2;69;51;65;57;81;77
24;180;77;79;2;79;43;66;69;80;75
25;187;78;79;4;66;77;81;83;46;65
24;172;66;79;4;84;76;77;84;65;57
23;163;59;79;3;89;70;76;86;27;47
20;174;74;79;3;78;79;63;78;29;72
23;182;66;79;2;74;38;60;61;81;79
24;179;70;79;4;75;74;79;79;39;62
24;180;75;79;3;80;75;77;80;60;73
24;179;76;79;3;67;61;80;77;72;70
23;171;70;79;4;88;74;73;84;43;66
23;180;78;79;3;84;64;74;81;77;77
24;182;73;79;4;76;63;79;84;54;65
23;175;73;79;4;87;77;69;83;39;72
22;183;71;79;2;66;55;65;61;80;80
21;179;82;79;3;81;80;76;79;42;80
27;188;80;79;3;63;68;77;72;78;81
27;178;72;79;3;80;79;74;76;34;65
25;177;69;79;5;80;73;76;84;31;62
25;177;77;79;3;81;67;71;77;79;78
26;173;72;79;4;72;71;78;83;49;67
25;179;72;79;3;83;76;76;81;62;73
26;185;76;79;2;68;60;69;73;83;83
26;177;70;79;3;96;66;70;82;36;66
27;190;82;79;2;69;46;66;65;78;79
25;178;78;79;4;84;74;75;82;69;82
23;180;72;79;3;73;67;76;76;78;80
24;180;72;79;3;66;51;73;75;74;77
25;184;80;79;2;67;41;64;59;80;79
24;186;85;79;2;59;57;70;60;80;86
24;187;84;79;2;72;57;63;63;79;84
24;177;72;79;3;81;81;72;83;49;68
20;179;73;79;4;91;68;66;86;26;59
22;173;73;79;2;82;40;73;78;76;82
26;184;75;79;3;65;71;82;70;72;75
26;189;80;79;2;74;31;58;51;81;74
26;179;70;79;3;80;65;73;79;75;76
24;178;75;79;3;79;56;74;73;80;76
24;186;83;79;2;77;38;61;66;81;73
24;173;70;79;3;78;73;75;84;70;57
25;187;77;79;3;95;79;74;78;38;68
24;186;82;79;2;75;59;66;66;79;82
27;180;67;79;3;77;73;80;80;55;71
26;176;65;79;3;80;71;76;80;76;80
27;179;72;79;4;81;79;77;77;26;65
26;190;80;79;2;52;29;44;43;81;78
25;187;75;79;3;72;68;72;72;80;84
27;185;80;79;2;63;66;74;67;81;86
26;194;85;79;3;64;71;73;71;75;88
27;182;77;79;2;82;52;60;66;82;77
26;195;88;79;2;55;67;73;66;78;83
33;175;73;79;3;68;81;73;82;31;68
36;184;89;79;3;41;84;82;76;62;71
35;196;86;79;2;59;42;61;60;81;67
32;173;73;79;3;82;73;78;77;43;66
32;188;74;79;2;60;69;79;72;75;68
35;184;84;79;3;55;79;69;78;32;71
32;184;83;79;2;69;52;64;64;79;77
32;170;66;79;4;73;72;80;84;52;67
31;183;83;79;2;68;46;58;55;81;81
29;186;77;79;2;56;74;82;78;65;69
30;188;76;79;2;32;31;46;42;81;79
33;184;78;79;2;33;41;58;54;80;72
32;184;77;79;2;78;71;79;78;76;80
31;188;89;79;2;54;50;57;58;81;79
32;178;72;79;3;72;72;84;74;76;76
30;182;79;79;2;67;50;64;64;81;76
30;186;76;79;3;63;75;82;78;35;61
31;184;79;79;2;73;60;71;61;79;78
29;180;72;79;3;83;59;73;79;76;78
34;182;85;79;3;80;79;67;76;36;82
31;180;78;79;3;71;76;80;77;68;77
27;165;63;79;3;92;63;73;83;27;60
28;182;75;79;2;71;63;69;63;80;77
28;175;69;79;3;82;74;81;82;70;73
30;183;80;79;2;67;72;77;73;75;77
29;185;78;79;2;75;65;75;76;78;82
29;188;82;79;3;66;80;61;72;31;69
28;191;87;79;2;74;43;57;57;79;82
29;173;73;79;2;78;53;72;75;80;68
29;181;91;79;2;70;42;57;61;79;82
32;187;83;79;2;68;78;80;74;70;71
29;189;79;79;2;61;59;60;59;81;82
28;183;77;79;4;79;78;78;81;68;85
28;178;81;79;3;79;76;78;78;51;80
27;184;81;79;2;72;74;80;77;65;80
28;190;79;79;2;69;44;59;50;80;82
27;179;73;79;2;60;40;71;72;79;76
28;186;81;79;3;86;76;68;77;37;73
30;181;73;79;3;77;80;71;81;32;64
27;192;88;79;2;62;78;69;69;38;82
31;193;87;79;2;42;85;69;69;30;71
29;186;81;79;3;75;80;62;73;37;84
28;192;84;79;3;52;46;66;65;81;81
30;184;74;79;3;60;65;75;73;75;76
28;182;76;79;3;74;73;82;79;62;68
30;172;64;79;3;85;58;72;75;75;77
20;176;78;78;5;91;71;72;84;28;75
20;175;65;78;4;90;66;72;85;36;52
20;175;70;78;4;89;71;71;84;41;72
20;189;76;78;3;80;71;74;81;55;74
20;183;75;78;2;79;36;57;63;80;74
21;169;64;78;4;75;70;75;84;29;44
22;187;87;78;3;59;60;70;71;80;84
22;183;70;78;4;81;80;77;83;28;60
22;183;85;78;2;67;44;53;51;77;84
24;203;87;78;3;77;79;51;67;36;77
23;185;83;78;2;78;38;53;58;80;81
21;171;67;78;2;87;67;70;80;74;71
26;184;80;78;2;68;42;60;57;79;79
25;189;80;78;2;61;61;72;70;78;81
23;175;74;78;4;83;73;70;84;63;72
24;182;67;78;3;75;68;76;75;70;76
25;163;63;78;4;87;70;73;81;32;53
25;175;72;78;3;61;74;80;77;69;70
25;186;77;78;2;60;50;63;60;79;75
24;182;77;78;3;76;66;78;78;69;75
23;185;73;78;3;85;76;71;80;33;75
22;176;70;78;4;85;69;75;81;34;78
22;178;65;78;3;89;72;70;82;26;60
27;183;77;78;4;88;67;75;80;65;70
26;188;79;78;2;69;67;75;76;71;82
27;182;73;78;4;85;69;70;83;34;60
26;181;81;78;3;81;80;45;74;34;72
24;176;72;78;3;81;72;74;80;62;78
27;175;72;78;3;79;74;78;80;45;61
25;187;81;78;4;80;80;76;77;42;74
25;187;80;78;2;64;58;64;62;79;79
24;178;70;78;3;81;56;72;75;79;71
26;172;64;78;4;88;75;72;82;41;61
25;180;76;78;3;90;66;75;75;72;82
23;183;77;78;3;85;77;72;75;44;64
22;188;78;78;2;66;47;62;67;79;75
22;189;88;78;2;64;80;54;69;37;83
21;177;70;78;4;77;70;75;82;56;67
23;186;73;78;2;67;39;54;59;81;74
23;183;73;78;2;77;47;56;65;79;78
27;188;80;78;2;68;40;47;50;81;79
27;183;75;78;2;82;62;72;74;77;77
26;183;73;78;3;81;75;65;83;29;70
27;175;77;78;4;78;79;77;81;44;64
26;189;94;78;3;63;79;62;76;29;77
26;180;76;78;3;75;78;76;80;42;74
24;182;80;78;2;77;64;70;74;77;77
24;182;75;78;2;66;47;69;65;77;81
27;177;74;78;3;84;73;75;80;44;64
25;166;61;78;3;88;75;78;79;60;52
27;188;83;78;2;61;53;69;68;78;88
27;176;72;78;2;77;62;68;71;76;74
26;178;73;78;4;86;75;70;81;31;71
25;180;78;78;3;76;78;77;77;71;76
26;185;79;78;3;86;77;55;68;33;75
26;181;74;78;2;77;53;69;70;79;78
25;189;87;78;2;59;55;67;51;82;85
24;180;70;78;2;68;62;71;71;81;77
25;185;77;78;2;61;37;55;55;80;78
27;171;68;78;4;89;76;74;84;30;54
26;191;76;78;2;62;43;51;49;80;84
34;191;83;78;2;54;44;55;52;81;78
36;188;83;78;4;72;75;74;81;28;61
34;188;80;78;2;49;62;69;66;79;76
33;183;80;78;2;54;37;44;52;77;83
31;185;83;78;3;56;76;83;73;64;75
32;179;75;78;3;75;71;80;80;29;59
35;180;78;78;3;66;81;79;80;28;66
33;174;72;78;3;83;78;62;80;31;62
33;178;76;78;2;74;62;60;53;78;80
36;170;68;78;3;78;82;81;82;29;57
32;191;83;78;2;57;64;76;68;79;75
28;188;80;78;3;83;78;66;70;37;80
28;187;82;78;2;70;65;69;67;80;81
31;187;73;78;2;76;64;74;74;78;82
35;187;83;78;3;65;82;72;68;32;68
30;184;74;78;3;73;77;76;80;37;68
33;177;78;78;2;59;72;75;72;76;75
28;176;70;78;3;68;75;81;75;68;74
33;186;81;78;2;57;40;60;47;79;74
35;183;78;78;2;67;77;64;78;28;63
28;176;75;78;3;84;75;77;80;61;70
31;183;83;78;2;64;42;44;54;79;83
30;175;73;78;4;86;78;58;80;32;74
29;178;76;78;3;68;72;73;70;73;81
30;181;76;78;3;67;60;73;66;74;81
29;177;75;78;3;81;71;79;77;49;71
32;189;87;78;2;50;38;58;47;81;81
28;175;65;78;4;86;73;75;81;34;53
28;186;84;78;3;72;81;72;74;33;73
30;180;75;78;3;77;68;78;76;69;73
28;180;73;78;5;86;70;71;85;41;65
27;183;73;78;3;78;74;78;78;43;67
28;185;79;78;4;83;77;71;83;31;66
28;189;81;78;2;64;75;75;71;74;80
28;184;77;78;2;71;80;63;69;39;72
29;182;77;78;2;73;51;66;66;78;84
27;178;76;78;5;78;77;76;85;34;69
28;190;80;78;2;39;43;56;55;81;73
28;185;80;78;3;67;78;68;71;43;76
30;181;74;78;2;66;59;65;61;77;77
28;190;88;78;2;59;38;50;45;81;82
28;180;86;78;3;74;56;66;73;79;88
28;180;81;78;3;83;80;69;79;37;75
29;179;79;78;4;83;78;71;80;41;66
29;176;70;78;3;81;73;71;81;36;58
28;178;72;78;5;77;72;79;83;39;60
27;191;75;78;2;66;78;72;75;42;74
30;172;74;78;2;71;47;74;69;74;74
28;188;78;78;4;70;74;76;83;52;56
28;172;73;78;4;81;74;73;85;38;66
30;178;78;78;3;77;80;72;77;42;72
28;190;88;78;2;68;55;51;51;83;81
29;182;70;78;4;76;77;77;77;32;63
28;187;83;78;2;72;70;78;75;78;78
28;183;75;78;3;84;71;75;77;70;81
21;172;68;77;4;92;68;65;84;27;50
23;186;72;77;3;66;71;81;79;53;71
22;184;82;77;2;68;56;61;54;80;76
21;187;80;77;2;78;75;53;75;29;66
20;189;87;77;2;62;57;63;65;80;76
23;179;65;77;4;69;70;79;80;29;52
21;176;76;77;3;83;63;70;75;76;83
22;184;76;77;3;80;74;76;77;76;76
21;179;70;77;4;83;73;74;79;32;63
20;176;73;77;4;75;76;78;78;37;57
21;170;63;77;4;89;67;70;81;34;44
23;184;78;77;3;82;68;77;79;64;74
23;178;72;77;3;78;76;59;74;30;68
23;174;74;77;2;88;49;72;75;73;76
23;180;73;77;4;88;71;69;81;29;62
23;189;82;77;3;68;56;69;74;75;76
26;170;64;77;4;80;65;78;85;25;42
25;179;85;77;3;78;72;71;73;78;79
24;168;62;77;3;70;58;76;78;66;60
23;172;78;77;3;83;56;71;77;76;77
24;183;76;77;3;72;70;78;74;73;76
23;180;64;77;4;84;60;72;86;40;61
25;193;82;77;2;73;45;52;47;76;84
21;181;71;77;3;80;77;67;78;36;68
27;175;73;77;4;75;74;74;82;39;66
24;175;72;77;4;80;78;75;79;29;55
23;179;67;77;3;77;61;73;76;75;75
21;187;79;77;2;74;30;53;48;80;75
24;175;70;77;4;86;77;69;83;31;65
23;177;73;77;5;76;71;78;81;40;52
23;170;65;77;4;81;72;72;85;25;45
26;180;75;77;3;66;70;82;74;63;69
26;195;81;77;2;57;37;52;60;79;76
26;191;86;77;2;73;45;53;53;82;78
24;175;66;77;3;77;61;75;85;39;58
23;176;72;77;4;72;72;77;79;59;70
24;178;74;77;2;91;63;71;72;76;80
24;179;72;77;2;78;51;72;73;75;73
21;180;75;77;3;77;75;76;78;49;70
22;195;90;77;2;74;50;67;64;80;75
23;170;68;77;4;81;75;76;82;31;60
23;172;66;77;3;72;70;76;79;67;63
23;183;78;77;4;75;74;76;80;40;61
25;188;84;77;3;71;77;52;70;32;80
27;178;69;77;3;68;68;77;76;74;70
27;187;77;77;3;60;75;61;72;44;74
27;183;79;77;2;78;55;60;66;81;78
27;181;76;77;3;84;58;71;72;75;73
27;186;80;77;2;66;40;62;66;78;71
25;191;79;77;2;73;78;61;67;49;85
26;173;66;77;3;88;72;70;82;48;68
26;181;69;77;3;85;63;71;75;73;75
24;186;78;77;3;68;80;77;73;51;66
26;182;78;77;3;80;74;77;74;47;70
24;185;78;77;2;73;50;58;66;77;80
26;176;70;77;2;78;46;72;73;74;77
25;191;82;77;2;52;47;61;56;78;83
24;184;79;77;3;77;71;76;79;26;71
24;187;80;77;3;77;74;75;79;44;77
22;175;72;77;4;91;68;66;83;28;67
26;180;82;77;2;79;55;64;66;78;85
26;186;83;77;3;74;77;65;71;32;72
27;178;77;77;4;88;70;72;81;35;73
25;192;83;77;4;79;74;75;80;42;74
25;185;80;77;2;70;78;72;73;59;76
25;186;72;77;2;80;72;74;70;74;77
27;187;82;77;2;72;36;53;49;81;80
26;188;82;77;3;75;77;71;75;37;80
27;177;70;77;3;80;74;73;77;65;69
27;178;69;77;2;66;43;68;56;75;74
36;181;78;77;2;50;46;59;56;78;67
34;183;75;77;2;67;67;70;66;75;76
36;192;88;77;2;71;35;55;56;78;79
32;187;82;77;2;72;51;58;61;79;80
34;181;73;77;4;70;76;76;80;30;72
30;193;100;77;2;47;47;43;44;79;81
34;184;77;77;3;68;72;80;77;66;71
32;176;73;77;3;74;65;77;77;75;71
29;180;65;77;3;76;73;77;78;42;61
33;181;75;77;2;53;55;63;55;76;81
30;180;77;77;2;84;64;73;74;78;82
33;180;79;77;3;78;76;76;79;45;71
31;180;71;77;3;68;77;74;74;41;61
34;188;82;77;2;53;43;52;51;77;79
30;176;72;77;4;72;71;78;81;27;55
34;186;82;77;2;46;60;61;50;80;78
32;184;78;77;2;77;68;70;71;77;85
34;181;85;77;2;69;43;57;60;80;78
29;182;74;77;3;73;76;80;77;61;73
30;186;77;77;2;61;53;63;55;75;82
30;175;73;77;3;68;59;76;76;74;71
29;170;73;77;3;93;74;66;77;34;68
29;180;78;77;3;66;68;77;76;73;75
32;182;87;77;2;66;79;59;69;32;73
29;181;77;77;3;79;70;78;76;59;71
31;174;70;77;4;80;75;73;82;38;64
29;182;83;77;3;74;87;76;77;38;69
36;180;77;77;2;61;49;65;63;79;70
27;185;79;77;4;68;71;80;78;55;67
33;179;79;77;3;72;77;74;79;34;67
28;181;78;77;2;61;54;74;67;74;79
29;192;84;77;2;48;60;57;54;78;77
30;178;67;77;2;73;65;70;72;78;79
29;182;79;77;3;49;78;83;74;65;73
28;178;74;77;3;62;63;76;77;71;74
33;179;71;77;3;49;69;84;73;52;68
31;180;79;77;2;71;83;67;76;29;68
29;188;83;77;2;42;48;66;58;78;78
29;180;78;77;2;54;60;71;64;79;77
30;168;75;77;4;82;71;74;81;49;74
28;194;84;77;2;56;76;57;66;34;79
28;191;89;77;3;80;69;73;73;75;78
26;175;63;77;3;75;74;76;82;38;65
28;170;72;77;2;86;66;72;78;66;72
30;182;78;77;3;76;81;63;73;31;65
28;172;68;77;3;72;50;75;79;75;67
28;184;76;77;3;82;52;73;74;77;82
28;178;75;77;3;70;75;76;75;35;64
28;175;72;77;2;67;65;83;77;59;66
28;184;76;77;3;78;64;74;79;74;78
27;181;85;77;3;76;75;71;75;43;75
28;187;85;77;2;52;65;66;66;77;85
27;184;74;77;3;73;77;63;74;33;69
28;177;71;77;3;72;69;75;77;54;58
28;188;80;77;2;67;27;49;52;78;82
28;172;65;77;2;84;63;78;76;73;73
30;167;61;77;4;87;65;72;80;42;61
30;185;85;77;2;59;47;59;52;79;80
28;182;81;77;3;73;76;63;79;30;76
30;174;74;77;3;84;78;69;80;29;71
27;183;76;77;3;78;76;57;76;29;68
30;173;70;77;2;73;68;73;76;76;77
29;186;82;77;2;74;72;75;73;71;79
26;181;73;77;2;57;58;65;68;78;74
29;167;60;77;3;75;67;76;83;60;61
28;174;76;77;3;77;75;65;79;40;72
33;191;80;77;3;56;75;64;70;33;72
33;176;74;77;3;63;70;81;78;27;60
19;183;70;76;3;84;74;67;80;29;65
21;181;75;76;2;79;75;51;71;30;69
20;182;75;76;3;75;72;74;81;29;59
21;183;74;76;2;84;44;71;70;74;77
21;182;73;76;3;79;63;73;74;75;73
22;180;65;76;3;79;66;79;78;69;67
19;181;77;76;4;88;70;69;80;31;71
21;186;82;76;3;77;71;74;75;62;74
22;174;66;76;2;78;66;71;69;77;78
21;174;69;76;3;73;73;76;76;32;63
19;189;82;76;2;57;33;50;51;78;76
22;175;72;76;4;93;65;70;83;48;64
24;174;66;76;2;70;54;67;72;75;75
23;187;80;76;2;81;56;65;68;78;76
21;185;82;76;3;49;62;76;74;65;73
20;178;74;76;3;80;51;71;72;74;73
21;178;73;76;4;87;73;71;83;27;55
19;173;66;76;4;91;67;70;82;28;63
19;173;65;76;3;79;69;77;79;59;62
22;193;82;76;2;66;32;50;54;78;79
24;172;74;76;2;67;68;77;77;56;61
25;179;76;76;3;82;72;78;78;72;77
23;188;71;76;3;71;71;74;75;73;77
22;182;74;76;3;80;74;72;81;35;61
22;191;77;76;2;75;31;55;60;77;78
23;177;67;76;3;83;68;72;81;66;62
20;181;81;76;2;65;65;77;73;73;77
23;173;67;76;3;80;75;72;77;64;69
21;182;68;76;2;66;62;79;77;57;60
20;181;75;76;2;74;54;59;63;77;77
26;165;68;76;4;89;69;71;82;25;50
25;184;77;76;2;76;39;57;63;75;80
